,Kids,Teens,Young Adults,Middle-aged,Old
Kids,0.919,0.001,0.001,0.117,0.008
Teens,0.006,0.643,0.247,0.007,0.126
Young Adults,0,0.079,0.744,0,0.002
Middle-aged,0.058,0.009,0.003,0.665,0.181
Old,0.017,0.267,0.005,0.211,0.683
