,Child,Teen,Young Adult,Middle-aged Adult,Old
Child,669,15,5,45,24
Teen,4,999,227,29,711
Young Adult,3,212,489,2,38
Middle-aged Adult,68,54,7,442,544
Old,24,512,58,291,2108
