,Child,Teen,Young Adult,Middle-aged Adult,Old
Child,0.892,0.005,0.001,0.076,0.006
Teen,0.012,0.623,0.27,0.027,0.209
Young Adult,0.003,0.125,0.715,0.002,0.004
Middle-aged Adult,0.066,0.012,0.004,0.575,0.143
Old,0.027,0.235,0.009,0.32,0.637
