,Child,Teen,Young Adult,Middle-aged Adult,Old
Child,658,8,1,69,22
Teen,9,981,199,25,756
Young Adult,2,196,528,2,16
Middle-aged Adult,49,19,3,525,519
Old,20,370,7,292,2304
