,Child,Teen,Young Adult,Middle-aged Adult,Old
Child,648,5,0,68,37
Teen,21,1022,194,31,702
Young Adult,7,217,490,1,29
Middle-aged Adult,62,36,0,356,661
Old,33,483,16,216,2245
